KEGG	Name	Equation	MetaNetX	Rhea	ModelSEED	BiGG	MetaCyc	SABIO-RK
R04578		1,6,6-Trimethyl-2,7-dioxabicyclo[3.2.2]nonan-3-one <=> 4,5-Dihydro-5,5-dimethyl-4-(3-oxobutyl)furan-2(3H)-one	MNXR108976		rxn11611		C04718-C060066-AUTOTRANSFORMATION-RXN	
R04579	UDP-alpha-D-glucose:2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-beta-D-glucosyltransferase	UDP-glucose + DIMBOA <=> UDP + DIMBOA-glucoside	MNXR192375	15541;15542;15543;15544	rxn03144;rxn15476;rxn24227;rxn24228			9155
R04580	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanate:CoA ligase (AMP-forming)	ATP + 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate + CoA <=> AMP + Diphosphate + 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA	MNXR148809					
R04581	CDPabequose:D-mannosyl-L-rhamnosyl-D-galactose-1-diphospholipid D-abequosyltransferase	CDP-abequose + D-Mannosyl-L-rhamnosyl-D-galactose-1-diphospholipid <=> CDP + D-Abequosyl-D-mannosyl-rhamnosyl-D-galactose-1-diphospholipid	MNXR108979	34183;34184;34185;34186	rxn06733		ABEQUOSYLTRANSFERASE-RXN	
R04582	Biotin:apo-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)]	ATP + Biotin + Apo-[propionyl-CoA:carbon-dioxide ligase (ADP-forming)] <=> AMP + Diphosphate + [Propionyl-CoA:carbon-dioxide ligase (ADP-forming)]	MNXR148812					
R04583	CMP-N-acetylneuraminate:alpha-N-acetylneuraminyl-2,3-beta-D-galactoside alpha-2,8-N-acetylneuraminyltransferase	CMP-N-acetylneuraminate + GM3 <=> CMP + GD3	MNXR148815	41760;41761;41762;41763	rxn06735		RXN-18275	
R04584	(N-Acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase	UDP-N-acetyl-D-galactosamine + GM3 <=> UDP + N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide	MNXR189973				2.4.1.92-RXN	
R04586	N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D- glucosylceramide N-acetylhexosaminohydrolase	N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GM3 + N-Acetyl-D-galactosamine	MNXR148821					
R04587	UDP-3-O-[(3R)-3-hydroxymyristoyl]-N-acetylglucosamine amidohydrolase	UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine + H2O <=> UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine + Acetate	MNXR192046	25209;25210;25211;25212	rxn03146;rxn31098		UDPACYLGLCNACDEACETYL-RXN	
R04588	S-Acetylphosphopantetheine:deacetyl-[citrate-oxaloacetate-lyase((pro-3S)-CH2COO-->acetate)] S-acetyltransferase	S-Acetylphosphopantetheine + Holo-[citrate (pro-3S)-lyase] <=> Pantetheine 4'-phosphate + Acetyl-[citrate (pro-3S)-lyase]	MNXR148824					
R04589	ATP:dephopho-[[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase] phopshotransferase	ATP + Dephospho-[[hydroxymethylglutaryl-CoA reductase (NADPH)]kinase] <=> ADP + [[Hydroxymethylglutaryl-CoA reductase (NADPH)]kinase]	MNXR108985		rxn06739			
R04590	CMP-N-acetylneuraminate:beta-D-galactoside alpha-2,3-N-acetylneuraminyltransferase	CMP-N-acetylneuraminate + beta-D-Galactosyl-1,3-N-acetyl-alpha-D-galactosaminyl-R <=> CMP + alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,3-N-acetyl-alpha-D-galactosaminyl-R	MNXR148827	21616;21617;21618;21619			2.4.99.3-RXN	
R04591	1-(5-Phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase (ADP-forming)	ATP + 1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate + L-Aspartate <=> ADP + Orthophosphate + 1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole	MNXR192576	22628;22629;22630;22631	rxn03147;rxn28980;rxn35571;rxn37546	PRAISh;PRASCSi	SAICARSYN-RXN	
R04592		3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA + FAD <=> (24E)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA + FADH2	MNXR148829					
R04593		3-Hydroxy-4-hydroxymethyl-2-methylpyridine-5-carboxylate <=> 5-Pyridoxolactone + H2O	MNXR108989		rxn03149			
R04594		N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole + H2O <=> alpha-Ribazole + Orthophosphate	MNXR104116	24456;24457;24458;24459	rxn03150	RZ5PP	RXN-16788	
R04596	CMP-N-acetylneuraminate:beta-D-galactosyl-1,4-N-acetyl-D-glucosaminyl-glycoprotein alpha-2,3-N-acetylneuraminyltransferase	CMP-N-acetylneuraminate + beta-D-Galactosyl-1,4-N-acetyl-D-glucosaminyl-glycoprotein <=> CMP + alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminyl-glycoprotein	MNXR148831					
R04597	3,4-Dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione:oxygen 4,5-oxidoreductase (decyclizing)	3,4-Dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione + Oxygen <=> 3-Hydroxy-5,9,17-trioxo-4,5:9,10-disecoandrosta-1(10),2-dien-4-oate	MNXR108991	21352;21353;21354;21355	rxn03152		1.13.11.25-RXN	4266
R04598	3,4-Dihydroxy-L-phenylalanine:oxygen 4,5-oxidoreductase (recyclizing)	Stizolobate + NADH + H+ <=> 4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde + NAD+	MNXR108992		rxn03153			
R04599	3,4-Dihydroxy-L-phenylalanine:oxygen 4,5-oxidoreductase (recyclizing)	Stizolobate + NADPH + H+ <=> 4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde + NADP+	MNXR108993		rxn03154			
R04600	3,4-Dihydroxy-L-phenylalanine:oxygen 2,3-oxidoreductase (recyclizing)	Stizolobinate + NADH + H+ <=> 5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde + NAD+	MNXR108994		rxn03155			
R04601	3,4-Dihydroxy-L-phenylalanine:oxygen 2,3-oxidoreductase (recyclizing)	Stizolobinate + NADPH + H+ <=> 5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde + NADP+	MNXR108995		rxn03156			
R04602	5-amino-4-chloro-2-(2',3'-dihydroxyphenyl)-3(2H)-pyridazinone 1',2'-oxidoreductase (decyclizing)	5-Amino-4-chloro-2-(2,3-dihydroxyphenyl)-3(2H)-pyridazinone + Oxygen <=> 5-Amino-4-chloro-2-(5-hydroxymuconoyl)-3(2H)-pyridazinone	MNXR151837					
R04603	UDP-N-acetyl-D-galactosamine:D-glucuronyl-N-acetyl-1,3-beta-D-galactosaminylproteoglycan beta-1,4-N-acetylgalactosaminyltransferase	UDP-N-acetyl-D-galactosamine + D-Glucuronyl-N-acetyl-1,3-beta-D-galactosaminylproteoglycan <=> UDP + N-Acetyl-beta-D-galactosaminyl-1,4-beta-D-glucuronyl-N-acetyl-1,3-beta-D-galactosaminylproteoglycan	MNXR148833		rxn06741			
R04604	Biotin:apo-[3-methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)] ligase (AMP-forming)	ATP + Biotin + Apo-[3-methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)] <=> AMP + Diphosphate + [3-Methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)]	MNXR148835		rxn06742;rxn19009			
R04606	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine:2,3-bis-(3-hydroxytetradecanoyl)-alpha-D-glucosaminyl-1-phosphate 2,3-bis(3-hydroxytetradecanoyl)-glucosaminyltransferase	UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine + Lipid X <=> UDP + Lipid A disaccharide	MNXR145456	22668;22669;22670;22671	rxn03159		LIPIDADISACCHARIDESYNTH-RXN	4275
R04607	UDPglucuronate:3-beta-D-galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein D-glucuronosyltransferase	UDP-glucuronate + 3-beta-D-Galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein <=> UDP + 3-beta-D-Glucuronosyl-3-beta-D-galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein	MNXR148837		rxn06743			
R04608	methyl-(2E,6E)-(10R,11S)-10,11-epoxy-3,7,11-trimethyl-trideca-2,6-dienoate acylhydrolase	Juvenile hormone II + H2O <=> Juvenile hormone II acid + Methanol	MNXR109000	16393;16394;16395;16396	rxn03160			
R04609	(5Z,9E,14Z)-(8xi,11R,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoate hydrolase	(5Z,9E,14Z)-(8xi,11R,12S)-11,12-Epoxy-8-hydroxyicosa-5,9,14-trienoic acid + H2O <=> (5Z,9E,14Z)-(8xi,11xi,12S)-8,11,12-Trihydroxyicosa-5,9,14-trienoate	MNXR152231			RE3519C;RE3519R;RE3519X		
R04610	UDPgalactose:N-acetyl-D-glucosaminyl-1,3-D-galactosyl-1,4-D-glucosylceramide beta-D-galactosyltransferase	UDP-alpha-D-galactose + N-Acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide <=> UDP + 1,3-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide	MNXR190179	16045;16046;16047;16048			2.4.1.86-RXN	
R04611	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine carboxypeptidase	UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala) + H2O <=> UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanine + D-Alanine	MNXR151839		rxn14121;rxn18067		3.4.17.14-RXN	
R04613	L-alanyl-tRNA(Ala):UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine N6-alanyltransferase	UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala) + L-Alanyl-tRNA <=> UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-N6-(L-alanyl)-L-lysyl-D-alanyl-D-alanine + tRNA(Ala)	MNXR109002					
R04615	UDP-N-Acetyl-D-galactosamine:N-acetylneuraminyl-2,3-alpha-D-galactosyl1,4-beta-D-glucosylceramide beta-1,4-N-acetyl-galactosaminyltransferase	UDP-N-acetyl-D-galactosamine + GM3 <=> UDP + N-Acetyl-D-galactosaminyl-1,4-beta-N-acetylneuraminyl-2,3-alpha-D-galactosyl-1,4-beta-D-glucosylceramide	MNXR148816					
R04616		20-OH-Leukotriene B4 <=> 20-COOH-Leukotriene B4	MNXR109003		rxn03163			
R04617	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminoheptanedioate:D-alanyl-D-alanine ligase(ADP-forming)	ATP + UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate + D-Alanyl-D-alanine <=> ADP + Orthophosphate + UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	MNXR146695	28374;28375;28376;28377	rxn39472	UGMDDS	UDP-NACMURALGLDAPAALIG-RXN	4284
R04618	malonyl-CoA:flavone-7-O-beta-D-glucoside 6''-O-malonyltransferase	Malonyl-CoA + Apigenin 7-O-[beta-D-apiosyl-(1->2)-beta-D-glucoside] <=> CoA + Malonylapiin	MNXR109005		rxn03165			
R04619	UDP-N-acetyl-D-glucosamine:mannotetraose alpha-N-acetyl-D-glucosaminyltransferase	UDP-N-acetyl-alpha-D-glucosamine + 1,3-alpha-D-Mannosyl-1,2-alpha-D-mannosyl-1,2-alpha-D-mannosyl-D-mannose <=> UDP + 1,3-alpha-D-Mannosyl-(1,2-N-acetyl-alpha-D-glucosaminyl)-1,2-alpha-D-mannosyl-1,2-alpha-D-mannosyl-D-mannose	MNXR148843	13705;13706;13707;13708	rxn03166;rxn17517		2.4.1.138-RXN	
R04620	7,8-dihydroneopterin-3'-triphosphate phosphohydrolase (alkaline optimum)	7,8-Dihydroneopterin 3'-triphosphate + 3 H2O <=> 7,8-Dihydroneopterin + 3 Orthophosphate	MNXR151843		rxn03167	HMR_4816;r0707		
R04621		7,8-Dihydroneopterin + Orthophosphate <=> Dihydroneopterin phosphate + H2O	MNXR151450	25306;25307;25308;25309	rxn03168;rxn30654		DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN	
R04622		7,8-Dihydroneopterin + Acceptor <=> Neopterin + Reduced acceptor	MNXR139296					
R04623	(+/-)-5-[(tert-Butylamino)-2'-hydroxypropoxyl]-1,2,3,4-tetrahydro-1-naphthol:NADP+ oxidoreductase	(+/-)-5-[(tert-Butylamino)-2'-hydroxypropoxy]-1,2,3,4-tetrahydro-1-naphthol + NADP+ <=> (+/-)-5-[(tert-Butylamino)-2'-hydroxypropoxy]-3,4-dihydro-1(2H)-naphthalenone + NADPH + H+	MNXR109008	15925;15926;15927;15928	rxn03169;rxn15482;rxn19486		DIHYDROBUNOLOL-DEHYDROGENASE-RXN	
R04630	CMP-N-acetylneuraminate:lactosylceramide alpha-2,3-N-acetylneuraminyltransferase	CMP-N-acetylneuraminate + GA2 <=> CMP + N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide	MNXR189976				RXN-18292	
R04631	UDPgalactose:N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosyl-N-acylsphingosine beta-1,3-D-galactosyltransferase	UDP-alpha-D-galactose + N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide <=> UDP + D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide	MNXR192616					
R04632		CMP-N-acetylneuraminate + N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide <=> CMP + GD2	MNXR148850					
R04633	D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D- galactosyl-D-glucosylceramide galactohydrolase	D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + D-Galactose	MNXR189981					
R04634		N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GA2 + N-Acetylneuraminate	MNXR189983					
R04635	CMP-N-acetylneuraminate:(alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-1,3)-N-acetyl-D-galactosaminide alpha-2,6-N-acetylneuraminyltransferase	CMP-N-acetylneuraminate + alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,3-N-acetyl-D-galactosaminyl-R <=> CMP + alpha-N-Acetylneuraminyl-2,3-beta-D-galactose-1,3-(alpha-N-acetylneuraminyl-2,6)-N-acetyl-D-galactosaminyl-R	MNXR109014		rxn03170			
R04636	UDP-N-acetyl-D-glucosamine:beta-D-galactosyl-(1->3)-[N-acetyl-D-glucosaminyl-(1->6)]-N-acetyl-D-galactosaminyl-R 3-beta-N-acetyl-D-glucosaminyltransferase	UDP-N-acetyl-alpha-D-glucosamine + beta-D-Galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R <=> UDP + N-Acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R	MNXR148860					
R04638	7,8-dihydroneopterin 3'-triphosphate diphosphohydrolase	7,8-Dihydroneopterin 3'-triphosphate + H2O <=> Dihydroneopterin phosphate + Diphosphate	MNXR192419	25302;25303;25304;25305	rxn03173		H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN	10428
R04639	2-amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate hydrolase	7,8-Dihydroneopterin 3'-triphosphate + H2O <=> 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	MNXR105370		rxn03174	r0708		
R04640	N-(5'-phospho-D-ribosylformimino)-5-amino-1- (5''-phospho-D-ribosyl)-4-imidazolecarboxamide ketol-isomerase	5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide <=> N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	MNXR103169	15469;15470;15471;15472	rxn03175;rxn20608	PRICIh;PRMICI	PRIBFAICARPISOM-RXN	4302
R04641	1-(4-Amino-2-methylpyrimid-5-ylmethyl)-3-(beta-hydroxyethyl)-2-methylpyridinium-bromide aminohydrolase	1-(4-Amino-2-methylpyrimid-5-ylmethyl)-3-(beta-hydroxyethyl)-2-methylpyridinium bromide + H2O <=> 1-(4-Hydroxy-2-methylpyrimid-5-ylmethyl)-3-(beta-hydroxyethyl)-2-methylpyridinium bromide + Ammonia	MNXR109016		rxn03176			
R04642	UDP-N-acetyl-D-glucosamine:2,6-bis(N-acetyl-beta-D-glucosaminyl)-alpha-D-mannosyl-glycoprotein 4-beta-N-acetyl-D-glucosaminyltransferase	UDP-N-acetyl-alpha-D-glucosamine + N-Acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,2)-alpha-D-mannosyl-R <=> UDP + N-Acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,2)-(N-acetyl-beta-D-glucosaminyl-1,4)-alpha-D-mannosyl-R	MNXR109017		rxn03177			
R04643	3'-Phosphoadenylylsulfate:triglucosyl-1-O-alkyl-2-O-acylglycerol 6-sulfotransferase	3'-Phosphoadenylyl sulfate + alpha-D-Glucosyl-1,6-alpha-D-glucosyl-1,6-alpha-D-glucosyl-1,3-1-O-alkyl-2-O-acylglycerol <=> Adenosine 3',5'-bisphosphate + 6-Sulfo-alpha-D-glucosyl-1,6-alpha-D-glucosyl-1,6-alpha-D-glucosyl-1,3-1-O-alkyl-2-O-acylglycerol	MNXR148862		rxn06753			
R04644		1,3-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide + UDP-alpha-D-galactose <=> Ceramidepentasaccharide + UDP	MNXR148864		rxn06754			
R04645		1,3-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide + UDP-N-acetyl-D-galactosamine <=> Ceramidepentasaccharide + UDP	MNXR148866		rxn06755			
R04646		1,3-beta-D-Galactosyl-N-acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide + GDP-L-fucose <=> Fuc-alpha1->2Gal-beta1->3GlcNAc-beta1->3Gal-beta1->4Glc-beta1-1'Cer + GDP	MNXR148869	32175;32176;32177;32178				
R04647	CMP-N-acetylneuraminate:alpha-N-acetylneuraminyl-2,3-beta-D-galactoside alpha-2,8-N-acetylneuraminyltransferase	CMP-N-acetylneuraminate + GA1 <=> CMP + D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide	MNXR192618					
R04648	CMP-N-acetylneuraminate:D-galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide N-acetylneuraminyltransferase	CMP-N-acetylneuraminate + D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide <=> CMP + N-Acetylneuraminyl-D-galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide	MNXR189988					
R04649		CMP-N-acetylneuraminate + D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide <=> CMP + GD1b	MNXR189992					
R04650		D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + N-Acetylneuraminate <=> N-Acetylneuraminyl-D-galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O	MNXR189993					
R04653	UDP-N-acetyl-D-glucosamine:glycoprotein (N-acetyl-D-glucosamine to alpha-D-mannosyl-1,6-(R1)-beta-D-mannosyl-R2) beta-1,2-N-acetyl-D-glucosaminyltransferase	UDP-N-acetyl-alpha-D-glucosamine + alpha-D-Mannosyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3)-beta-D-mannosyl-R <=> UDP + N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3)-beta-D-mannosyl-R	MNXR148884					
R04654	UDP-N-acetyl-D-glucosamine:D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide beta-1,6-N-acetylglucosaminyltransferase	UDP-N-acetyl-alpha-D-glucosamine + beta-D-Galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide <=> UDP + N-Acetyl-D-glucosaminyl-1,6-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide	MNXR148886					
R04656		CMP-N-acetylneuraminate + beta-D-Galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide <=> CMP + alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide	MNXR146476	18913;18914;18915;18916			2.4.99.10-RXN	
R04657	ATP:2,3,2',3'-tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-beta-D-1,6-glucosaminyl-alpha-phosphate 4-O'-phosphotransferase	ATP + Lipid A disaccharide <=> ADP + 2,3,2'3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate	MNXR104762	20700;20701;20702;20703	rxn03181;rxn27286	TDSK	TETRAACYLDISACC4KIN-RXN	
R04658	CMP-3-deoxy-D-manno-oct-2-ulosonate:lipid IVA 3-deoxy-D-manno-oct-2-ulosonate transferase	2,3,2'3'-Tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate + CMP-3-deoxy-D-manno-octulosonate <=> 3-Deoxy-D-manno-octulosonyl-lipid IV(A) + CMP	MNXR145664	28066;28067;28068;28069				
R04659	UDP-N-acetyl-D-glucosamine:beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide beta-1,3-acetylglucosaminyltransferase	UDP-N-acetyl-alpha-D-glucosamine + beta-D-Galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide <=> UDP + N-Acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide	MNXR148888					
R04660	CMP-N-acetylneuraminate:alpha-N-acetylneuraminyl-2,3-beta-D-galactoside alpha-2,8-N-acetylneuraminyltransferase	CMP-N-acetylneuraminate + N-Acetylneuraminyl-D-galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide <=> CMP + GT1a	MNXR189995					
R04661		CMP-N-acetylneuraminate + N-Acetylneuraminyl-D-galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide <=> CMP + GT1b	MNXR189998					
R04662	UDP-N-acetyl-D-glucosamine:3-[2-(N-acetyl-beta-D-glucosaminyl)-alpha-D-mannosyl]-glycoprotein 4-beta-N-acetyl-D-glucosaminyltransferase	UDP-N-acetyl-alpha-D-glucosamine + N-Acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(R1)-beta-D-mannosyl-R2 <=> UDP + N-Acetyl-beta-D-glucosaminyl-1,4-(N-acetyl-beta-D-glucosaminyl-1,2)-alpha-D-mannosyl-1,3-beta-D-mannosyl-R	MNXR148894					
R04665	UDP-N-acetyl-D-glucosamine:6-[2-(N-acetyl-beta-D-glucosaminyl)-alpha-D-mannosyl]-glycoprotein 6-beta-N-acetyl-D-glucosaminyltransferase	UDP-N-acetyl-alpha-D-glucosamine + 6-(2-[N-Acetyl-beta-D-glucosaminyl]-alpha-D-mannosyl)-beta-D-mannosyl-R <=> UDP + 6-(2,6-Bis[N-acetyl-beta-D-glucosaminyl]-alpha-D-mannosyl)-beta-D-mannosyl-R	MNXR109032		rxn03187			
R04666	(R)-3-ureidoisobutyrate amidohydrolase	(R)-3-Ureidoisobutyrate + H2O <=> (R)-3-Amino-2-methylpropanoate + CO2 + Ammonia	MNXR109033	37339;37340;37341;37342	rxn15489;rxn41046	BUP2	RXN-11210	
R04667		7-Dehydrodesmosterol + Reduced acceptor <=> 5alpha-Cholesta-7,24-dien-3beta-ol + Acceptor	MNXR109034					
R04670		24,25-Dihydrolanosterol + NADPH <=> 4alpha-Methylcholesta-8-en-3beta-ol + NADP+	MNXR109035		rxn03191			
R04671	4alpha-Methylcholesta-8-en-3beta-ol delta7-delta8-isomerase	4alpha-Methylcholesta-8-en-3beta-ol <=> Methostenol	MNXR109036		rxn03192			
R04672	(S)-2-Acetolactate pyruvate-lyase (carboxylating)	(S)-2-Acetolactate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + Pyruvate	MNXR190694	24805;24806;24807;24808	rxn02185;rxn15491;rxn32060;rxn33391;rxn34626	ACLSb;APLh;APLm	RXN-14037	
R04673	(S)-2-Aceto-2-hydroxybutanoate pyruvate-lyase (carboxylating)	2-Oxobutanoate + 2-(alpha-Hydroxyethyl)thiamine diphosphate <=> (S)-2-Aceto-2-hydroxybutanoate + Thiamin diphosphate	MNXR151559	33691;33692;33693;33694	rxn03194;rxn31792;rxn35526	ACAS_2ahbut;ACHBSb		
R04674	N-methylhistamine:oxygen oxidoreductase (deaminating)	N-Methylhistamine + H2O + Oxygen <=> Methylimidazole acetaldehyde + Ammonia + Hydrogen peroxide	MNXR101554		rxn03195	MHISOR		
R04675	17alpha-hydroxypregnenolone,NADPH-hemoprotein reductase:oxygen oxidoreductase (21-hydroxylating)	17alpha-Hydroxypregnenolone + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 17alpha,21-Dihydroxypregnenolone + [Oxidized NADPH---hemoprotein reductase] + H2O	MNXR148896					
