KEGG	Name	Formula	MetaNetX	ModelSEED	BiGG	ChEBI	MetaCyc	SABIO-RK	Reactome
C10717	Paeonoside	C15H20O8	MNXM739363	cpd07603		7892			
C10718	Maculosine	C17H17NO6	MNXM60905	cpd07604		6632			
C10719	Nordihydroguaiaretic acid	C18H22O4	MNXM1107583	cpd07605		7625	CPD-7661		
C10720	Picein	C14H18O7	MNXM76553	cpd07606		8199			
C10721	Rottlerin	C30H28O8	MNXM81127	cpd07607		8899;92065			
C10722	Melicopicine	C18H19NO5	MNXM12228	cpd07608		6734			
C10723	Tricyclodehydroisohumulone	C21H28O5	MNXM740975	cpd07609		9698			
C10724	Melicopine	C17H15NO5	MNXM61342	cpd07610		6735			
C10725	Nortrachelogenin	C20H22O7	MNXM64968	cpd07611		7639			
C10726	Xanthoxylin	C10H12O4	MNXM89163	cpd07612		10070			
C10727	Melochinone	C22H21NO2	MNXM61365	cpd07613		6738			
C10728	Otobain	C20H20O4	MNXM65900	cpd07614		7803			
C10729	alpha-Peltatin	C21H20O8	MNXM41577	cpd07615		10324			
C10730	beta-Peltatin A methyl ether	C23H24O8	MNXM13301	cpd07616		10437	CPD-8961		
C10731	N-Methylflindersine	C15H15NO2	MNXM63866	cpd07617		7315			
C10732	O-Methylptelefolonium	C18H22NO4	MNXM65179	cpd07618		7687			
C10733	Peganine	C11H12N2O	MNXM7625	cpd07619		7949			
C10734	Pteleatine	C16H20NO4	MNXM79653	cpd07620		8625			
C10735	Ribalinium	C16H20NO4	MNXM80879	cpd07621		8839			
C10736	Robustine	C12H9NO3	MNXM81052	cpd07622		8883			
C10737	Phrymarolin I	C24H24O11	MNXM75221	cpd07623		8173			
C10738	Rutacridone	C19H17NO3	MNXM12903	cpd07624		8917			
C10739	Rutacridone epoxide	C19H17NO4	MNXM81189	cpd07625		8918			
C10740	Skimmianine	C14H13NO4	MNXM12944	cpd07626		9172			
C10741	Swietenidin B	C11H11NO3	MNXM83197	cpd07627		9373			
C10742	Tryptanthrine	C15H8N2O2	MNXM88239	cpd07628		9768			
C10743	Vasicinol	C11H12N2O2	MNXM88738	cpd07629		9935			
C10744	Vasicinone	C11H10N2O2	MNXM88739	cpd07630		9936			
C10745	Veprisinium	C18H24NO5	MNXM88783	cpd07631		9946			
C10746	Phyllanthin	C24H34O6	MNXM75256	cpd07632		8177			
C10747	Albine	C14H20N2O	MNXM40538	cpd07633		2547			
C10748	Aloperine	C15H24N2	MNXM40897	cpd07634		2609			
C10749	Ammothamnine	C15H24N2O2	MNXM41919	cpd07635		2672			
C10750	Anagyrine	C15H20N2O	MNXM42026	cpd07636		2699			
C10751	Angustifoline	C14H22N2O	MNXM42111	cpd07637		2724			
C10752	Aphylline	C15H24N2O	MNXM735897	cpd07638		2767			
C10753	Argentine	C23H26N4O3	MNXM42565	cpd07639		2819			
C10754	Argyrolobine	C15H22N2O2	MNXM42584	cpd07640		2820			
C10755	Baptifoline	C15H20N2O2	MNXM43311	cpd07641		2990			
C10756	Cadiamine	C15H26N2O3	MNXM45159	cpd07642		3289			
C10757	Calpurnine	C20H27N3O3	MNXM45307	cpd07643		177550;3331			
C10758	Camoensine	C14H18N2O	MNXM45343	cpd07644		3341			
C10759	6-Pentadecylsalicylic acid	C22H36O3	MNXM491491	cpd07645		2696			
C10760	Caulophylline	C12H16N2O	MNXM45848	cpd07646		3474			
C10761	p-Anisaldehyde	C8H8O2	MNXM20164	cpd07647		28235		12842;18791	
C10762	Cinegalline	C23H30N2O6	MNXM46806	cpd07648		3705			
C10763	Cytisine	C11H14N2O	MNXM1107472	cpd07649					
C10764	5,6-Dehydrolupanine	C15H22N2O	MNXM37906	cpd07650		1996			
C10765	Antiarol	C9H12O4	MNXM36022	cpd07651		2760			
C10766	Ascosalitoxin	C15H20O4	MNXM42796	cpd07652		2870			
C10767	Dimethamine	C24H32N4O2	MNXM50937	cpd07653		4605			
C10768	(-)-Jamine	C21H35N3	MNXM30310	cpd07654		165173;6081			
C10769	Lamprolobine	C15H24N2O2	MNXM59705	cpd07655		6369			
C10770	Bilobol	C21H34O2	MNXM487922	cpd07656		3104			
C10771	Leontiformine	C15H26N2O	MNXM59891	cpd07657		6410			
C10772	Lupanine	C15H24N2O	MNXM733440	cpd07658					
C10773	Lupinine	C10H19NO	MNXM12142	cpd07659		28012			
C10774	Matrine	C15H24N2O	MNXM61199	cpd07660		6700			
C10775	Multiflorine	C15H22N2O	MNXM62623	cpd07661		7021			
C10776	Nuttalline	C15H24N2O2	MNXM65055	cpd07662		7659			
C10777	(-)-Ormosanine	C20H35N3	MNXM733722	cpd07663		106			
C10778	Panamine	C20H33N3	MNXM1107613	cpd07664					
C10779	Piptanthine	C20H35N3	MNXM76960	cpd07665		8243			
C10780	Retamine	C15H26N2O	MNXM80723	cpd07666		8813			
C10781	Rhombifoline	C15H20N2O	MNXM80873	cpd07667		8837			
C10782	Sophoramine	C15H20N2O	MNXM82468	cpd07668		9198			
C10783	(-)-Sparteine	C15H26N2	MNXM1108467	cpd07669		28827			
C10784	Cannabidiolic acid	C22H30O4	MNXM45385	cpd07670		3359;67136	CPD-7170		
C10785	(15:1)-Cardanol	C21H34O	MNXM30431	cpd07671		146			
C10786	Templetine	C20H35N3	MNXM83565	cpd07672		9438			
C10787	2,6-Dimethoxyphenol	C8H10O3	MNXM34614	cpd07673		955	CPD-12797	12868	
C10788	Ellagic acid	C14H6O8	MNXM17482	cpd07674		4775	CPD-17769		
C10789	Thermospine	C15H20N2O	MNXM86893	cpd07675		9524			
C10790	Tinctorine	C15H20N2O	MNXM87268	cpd07676		9601			
C10791	Tsukushinamine A	C15H20N2O	MNXM88252	cpd07677		9770			
C10792	Gentisyl alcohol	C7H8O3	MNXM54897	cpd07678		5325	CPD-16721		
C10793	Geranylhydroquinone	C16H22O2	MNXM3603	cpd07679		24233	CPD-9319		
C10794	Ginkgoic acid	C22H34O3	MNXM738065	cpd07680		5354			
C10795	Buxamine E	C26H44N2	MNXM45048	cpd07681		3249			
C10796	alpha-Chaconine	C45H73NO14	MNXM1108042	cpd07682		10219	CPD-9214		
C10797	Cyclobuxine D	C25H42N2O	MNXM48098	cpd07683		3999			
C10798	Cyclopamine	C27H41NO2	MNXM48175	cpd07684		4021			
C10799	Cycloprotobuxine C	C27H48N2	MNXM48225	cpd07685		4029			
C10800	Grevillol	C19H32O2	MNXM55677	cpd07686		5545			
C10801	Cyclovirobuxine C	C27H48N2O	MNXM48241	cpd07687		4032			
C10802	5-(Heptadec-12-enyl)resorcinol	C23H38O2	MNXM37972	cpd07688		2022			
C10803	Demissine	C50H83NO20	MNXM49032	cpd07689		4399			
C10804	2-(Hydroxymethyl)benzoic acid	C8H8O3	MNXM34720	cpd07690			CPD-19749	12885	
C10805	Leiocarposide	C27H34O16	MNXM59868	cpd07691		6403			
C10806	Funtumine	C21H35NO	MNXM54011	cpd07692		5193			
C10807	Germine	C27H43NO8	MNXM54939	cpd07693		5338			
C10808	Imperialine	C27H43NO3	MNXM57262	cpd07694		5886			
C10809	5-Pentadecylresorcinol	C21H36O2	MNXM45658	cpd07695		2120			
C10810	Irehine	C23H39NO	MNXM57705	cpd07696		5960			
C10811	Jervine	C27H39NO3	MNXM58534	cpd07697		6088			
C10812	Piperonal	C8H6O3	MNXM76941	cpd07698		8240	CPD-19433	12893	
C10813	Kurchessine	C25H44N2	MNXM59192	cpd07699		6145			
C10814	Paravallarine	C22H33NO2	MNXM107584	cpd07700		67712			
C10815	Protoveratrine A	C41H63NO14	MNXM78373	cpd07701		8594			
C10816	Protoveratrine B	C41H63NO15	MNXM78374	cpd07702		8595			
C10817	Protoverine	C27H43NO9	MNXM78375	cpd07703		8596			
C10818	Solacapine	C27H48N2O2	MNXM82398	cpd07704		9184			
C10819	Solamargine	C45H73NO15	MNXM82401	cpd07705		9185			
C10820	Solanine	C45H73NO15	MNXM732736	cpd07706			CPD-9210		
C10821	Solanocapsine	C27H46N2O2	MNXM82412	cpd07707		9189			
C10822	Solasodine	C27H43NO2	MNXM1108323	cpd07708		145043;9190		12903	
C10823	Populin	C20H22O8	MNXM77842	cpd07709		8333			
C10824	Solasonine	C45H73NO16	MNXM82414	cpd07710		9191			
C10825	Terminaline	C23H41NO2	MNXM83650	cpd07711		9455			
C10826	Tomatidine	C27H45NO2	MNXM727963	cpd07712		166999;9629	CPD-17697		
C10827	Tomatine	C50H83NO21	MNXM740953	cpd07713		9630	CPD-17696		
C10828	Veracevine	C27H43NO8	MNXM88784	cpd07714		9947			
C10829	Veratramine	C27H39NO2	MNXM88789	cpd07715		9951			
C10830	Peimine	C27H45NO3	MNXM73052	cpd07716		9970			
C10831	Zygadenine	C27H43NO7	MNXM89467	cpd07717		10130			
C10832	Sesamol	C7H6O3	MNXM81924	cpd07718		9126			
C10833	Syringic acid	C9H10O5	MNXM12975	cpd07719		132111;68329	CPD-8486	12914	
C10834	Theogallin	C14H16O10	MNXM86877	cpd07720		9522			
C10835	Trichocarpin	C20H22O9	MNXM87842	cpd07721		9687			
C10836	3,4,3'-Tri-O-methylellagic acid	C17H12O8	MNXM36013	cpd07722		1368			
C10837	Turgorin	C13H15O13S	MNXM88326	cpd07723		9780			
C10838	Turricolol E	C21H30O3	MNXM88329	cpd07724		9781			
C10839	Urushiol III	C21H32O2	MNXM88618	cpd07725		9909	CPD-9593		
C10840	Zinniol	C15H22O4	MNXM89403	cpd07726		10117			
C10841	Anatoxin a	C10H15NO	MNXM42044	cpd07727		2706			
C10842	Anisodamine	C17H23NO4	MNXM732795			2735			
C10843	Apoatropine	C17H21NO2	MNXM42423	cpd07729		2780			
C10844	Apohyoscine	C17H19NO3	MNXM42428	cpd07730		2785			
C10845	Belladonnine	C34H42N2O4	MNXM43410	cpd07731		3006			
C10846	Bellendine	C12H15NO2	MNXM43411	cpd07732		3007			
C10847	Benzoylecgonine	C16H19NO4	MNXM737559						
C10848	Tropacocaine	C15H19NO2	MNXM88214	cpd07734;cpd08235		3043;9755			
C10849	Brugine	C12H19NO2S2	MNXM44850	cpd07735		3194			
C10850	Calystegin A3	C7H13NO3	MNXM740768			3336			
C10851	Calystegin B2	C7H13NO4	MNXM45319	cpd07737		3337			
C10852	Cinnamoylcocaine	C19H23NO4	MNXM46829	cpd07738		3713			
C10853	Cochlearine	C15H19NO3	MNXM47471	cpd07739		3802			
C10854	Convolamine	C17H23NO4	MNXM47612	cpd07740		104025;3868			
C10855	Convoline	C16H21NO5	MNXM47613	cpd07741		3869			
C10856	Convolvine	C16H21NO4	MNXM47614	cpd07742		3870			
C10857	Darlingine	C13H17NO2	MNXM48773	cpd07743		4326			
C10858	Ecgonine	C9H15NO3	MNXM1106116	cpd07744	ecgon	176716;4743			
C10859	Knightinol	C17H23NO3	MNXM59144	cpd07745		6140			
C10860	Littorine	C17H23NO3	MNXM5812	cpd07746		6506	CPD-7996		
C10861	Meteloidine	C13H21NO4	MNXM61578	cpd07747		6800			
C10862	Norhyoscyamine	C16H21NO3	MNXM64946	cpd07748		7631			
C10863	Phyllalbine	C16H21NO4	MNXM75255	cpd07749		8176;92504			
C10864	Physoperuvine	C8H15NO	MNXM75270	cpd07750		8186			
C10865	Pseudopelletierine	C9H15NO	MNXM727813	cpd07751					
C10866	Scopoline	C8H13NO2	MNXM81652	cpd07752		9059			
C10867	Strobamine	C17H19NO2	MNXM82836	cpd07753		9291			
C10868	Tigloidine	C13H21NO2	MNXM87226	cpd07754		9593			
C10869	Valeroidine	C13H23NO3	MNXM88654	cpd07755		9923			
C10870	Phyllanthostatin A	C29H30O13	MNXM75257	cpd07756		8178			
C10871	Picropodophyllin	C22H22O8	MNXM738722	cpd07757		75251			
C10873	Plicatic acid	C20H22O10	MNXM77101	cpd07759		8272			
C10874	Podophyllotoxin	C22H22O8	MNXM12703	cpd07760		50305	CPD-8959		
C10875	Podophyllotoxone	C22H20O8	MNXM77153	cpd07761		8281			
C10876	Podorhizol beta-D-glucoside	C28H34O13	MNXM77157	cpd07762		27901			
C10877	Prostalidin A	C21H14O8	MNXM78316	cpd07763		8522			
C10878	Randainol	C18H18O3	MNXM80589	cpd07764		8775			
C10879	Saucernetin	C22H28O5	MNXM81566	cpd07765		9041			
C10880	Savinin	C20H16O6	MNXM81570	cpd07766		9044			
C10881	Schisantherin A	C30H32O9	MNXM81611	cpd07767		9048			
C10882	Sesamin	C20H18O6	MNXM725948	cpd07768;cpd25491		66470	CPD-8922		
C10883	Sesamolinol	C20H20O7	MNXM739847	cpd07769;cpd25492		9127	CPD-8927		
C10884	Sesartemin	C23H26O8	MNXM81927	cpd07770		9128			
C10885	Simplexoside	C26H30O11	MNXM82145	cpd07771		9149			
C10886	Steganacin	C24H24O9	MNXM82725	cpd07772		9259			
C10887	Styraxin	C20H18O7	MNXM82859	cpd07773		9295			
C10888	Surinamensin	C22H28O6	MNXM83159	cpd07774		9365			
C10889	(+)-Syringaresinol	C22H26O8	MNXM30154	cpd07775		47	CPD-20971		
C10890	(+)-Syringaresinol O-beta-D-glucoside	C28H36O13	MNXM30155	cpd07776		168616;28603			
C10891	Trachelogenin	C21H24O7	MNXM87517	cpd07777		9647			
C10892	(+)-Veraguensin	C22H28O5	MNXM113867	cpd07778		69669			
C10893	Schizandrin C	C22H24O6	MNXM81613	cpd07779		10044			
C10894	Yangambin	C24H30O8	MNXM89245	cpd07780		10088			
C10895	Azafenidin	C15H13Cl2N3O2	MNXM43108	cpd07781		2943			
C10896	Benomyl	C14H18N4O3	MNXM43449	cpd07782		3015	CPD-22389		
C10897	Carbendazim	C9H9N3O2	MNXM45514	cpd07783		3392			
C10898	2-Benzimidazolylguanidine	C8H9N5	MNXM34898	cpd07784		1026			
C10899	Allophanic acid methyl ester	C3H6N2O3	MNXM40843	cpd07785		2600			
C10900	Methyl oxalate	C4H6O4	MNXM61794	cpd07786		6859			
C10901	2-Aminobenzimidazole	C7H7N3	MNXM723322	cpd07787		27822			
C10902	Methyl 5-hydroxy-2-benzimidazole carbamate	C9H9N3O3	MNXM61730	cpd07788		6852			
C10903	Cinmethylin	C18H26O2	MNXM46816	cpd07789		145563;3708			
C10904	Cabucine	C22H26N2O4	MNXM45151	cpd07790		3287			
C10905	Activated methyl group		MNXM730258						
C10906	D-Fructose	C6H12O6	MNXM1103576	cpd19102;cpd27040		48095	CPD-15382;FRU	1464;25055	
C10907	Cloransulam-methyl	C15H13ClFN5O5S	MNXM47304	cpd07792		3760			
C10908	Fluthiacet-methyl	C15H15ClFN3O3S2	MNXM53704	cpd07793		5133			
C10909	Methabenzthiazuron	C10H11N3OS	MNXM61586	cpd07794		6803			
C10910	2-Methylthiobenzothiazole	C8H7NS2	MNXM35303	cpd07795		1217			
C10911	Bromacil	C9H13BrN2O2	MNXM44720	cpd07796		83658			
C10912	Buprofezin	C16H23N3OS	MNXM496786	cpd07797		39381			
C10913	Cycloxydim	C17H27NO3S	MNXM724524	cpd07798		4033			
C10914	Cyprodinil	C14H15N3	MNXM724532	cpd07799		4045			
C10915	Bispyribac	C19H18N4O8	MNXM44458	cpd07800		161936;3129			
C10916	2-Dimethylamino-5,6-dimethylpyrimidin-4-ol	C8H13N3O	MNXM34711	cpd07801		28308;38546			
C10917	7-N,N-Dimethylamino-1,2,3,4,5-pentathiocyclooctane	C5H11NS5	MNXM39155	cpd07802		2277			
C10918	Indeloxazine	C14H17NO2	MNXM57292	cpd07803		5894			
C10919	Mepanipyrim	C14H13N3	MNXM61406	cpd07804		6751			
C10920	Glycidol	C3H6O2	MNXM55332	cpd07805		30966	CPD-21445	13001	
C10921	Butyl acrylate	C7H12O2	MNXM45027	cpd07806		3245			
C10922	2,3-Dimercaptopropane-1-sulfonic acid	C3H8O3S3	MNXM34471	cpd07807		888			
C10923	2-Nitrofluorene	C13H9NO2	MNXM35345	cpd07808		1224			
C10924	9-Hydroxy-2-nitrofluorene	C13H9NO3	MNXM39592	cpd07809		2333			
C10925	Acetochlor	C14H20ClNO2	MNXM40048	cpd07810		2394	CPD-18950		
C10926	Hexazinone	C12H20N4O2	MNXM56449	cpd07811		5705			
C10927	Cybutryne	C11H19N5S	MNXM57708	cpd07812		5962			
C10928	Alachlor	C14H20ClNO2	MNXM40499	cpd07813		2533	CPD-18948		
C10929	Benalaxyl	C20H23NO3	MNXM739805	cpd07814		82777			
C10930	Metamitron	C10H10N4O	MNXM724948	cpd07815		6791			
C10931	Butachlor	C17H26ClNO2	MNXM44954	cpd07816		3230	CPD-18941		
C10932	Carpropamid	C15H18Cl3NO	MNXM30521	cpd07817		3434;47351			
C10933	Amidosulfuron	C9H15N5O7S2	MNXM41778	cpd07818		2635			
C10934	2,6-Dichlorobenzamide	C7H5Cl2NO	MNXM34597	cpd07819		28435			
C10935	N,N-Diethyl-m-toluamide	C12H17NO	MNXM63094	cpd07820		7071			
C10936	N-(2,6-Dimethylphenyl)-4-[[(diethylamino)acetyl]amino]benzamide	C21H27N3O2	MNXM63139	cpd07821		7085			
C10937	Bensulfuron-methyl	C16H18N4O7S	MNXM43462	cpd07822		3017			
C10938	N,N-Diethylphenylacetamide	C12H17NO	MNXM63096	cpd07823		27643			
C10939	Flumetover	C19H20F3NO3	MNXM53543	cpd07824		7266			
C10940	Epicainide	C21H26N2O2	MNXM52284	cpd07825		4804			
C10941	Furalaxyl	C17H19NO4	MNXM54014	cpd07826		82787			
C10942	Inabenfide	C19H15ClN2O2	MNXM57265	cpd07827		5887			
C10943	Chlorimuron-ethyl	C15H15ClN4O6S	MNXM46363	cpd07828		47319			
C10944	Isobutylphendienamide	C16H21NO	MNXM57840	cpd07829		5990			
C10945	Caffeic aldehyde	C9H8O3	MNXM4498	cpd07830		28323	CPD-18120	13026	
C10946	Metsulfuron-methyl	C14H15N5O6S	MNXM61989	cpd07831		39678	CPD-24407		
C10947	Metalaxyl	C15H21NO4	MNXM724962	cpd07832		82790			
C10948	Metazachlor	C14H16ClN3O	MNXM724950	cpd07833		6798			
C10949	Nicosulfuron	C15H18N6O6S	MNXM725062	cpd07834		7554			
C10950	Prosulfuron	C15H16F3N5O4S	MNXM78324	cpd07835		8523			
C10951	N-(4-Chloro-3-methyl-5-isothiazolyl)-N-methyl-2-[p-[(alpha,alpha,alpha-trifluoro-p-tolyl)oxy]phenyl]acetamide	C20H16ClF3N2O2S	MNXM63213	cpd07836		7100			
C10952	Rimsulfuron	C14H17N5O7S2	MNXM725398	cpd07837		8866			
C10953	Metolachlor	C15H22ClNO2	MNXM61966	cpd07838		83645	CPD-18949		
C10954	Naproanilide	C19H17NO2	MNXM64224	cpd07839		7475			
C10955	Sulfometuron methyl	C15H16N4O5S	MNXM83049	cpd07840		39645;9348	CPD0-1692		
C10956	Oxycarboxin	C12H13NO4S	MNXM725102	cpd07841		7858			
C10957	Thifensulfuron-methyl	C12H13N5O6S2	MNXM86982	cpd07842		83453			
C10958	Prinomide	C15H13N3O2	MNXM78067	cpd07843		8415			
C10959	Thenylchlor	C16H18ClNO2S	MNXM86874	cpd07844		9520			
C10960	Triforine	C10H14Cl6N4O2	MNXM87958	cpd07845		9715			
C10961	Triasulfuron	C14H16ClN5O5S	MNXM87728	cpd07846		9673			
C10962	Tribenuron methyl	C15H17N5O6S	MNXM725804	cpd07847		9678			
C10963	Terbacil	C9H13ClN2O2	MNXM83620	cpd07848		9447			
C10964	Benoxacor	C11H11Cl2NO2	MNXM43452	cpd07849		3016			
C10965	Bentazone	C10H12N2O3S	MNXM1108215			3018			
C10966	Chlorpromazine N-oxide	C17H19ClN2OS	MNXM46515	cpd07851		3648			
C10967	Fluperlapine	C19H20FN3	MNXM53662	cpd07852		5122			
C10968	Idazoxan	C11H12N2O2	MNXM57095	cpd07853		5862			
C10969	SC-1271	C18H15ClN2O4	MNXM81585	cpd07854		8981			
C10970	Benalfocin	C11H14ClN	MNXM43424	cpd07855		8986			
C10971	Isoimide	C14H12BrNO2	MNXM57975	cpd07856		6020			
C10972	Imide	C14H12BrNO2	MNXM57218	cpd07857		5877			
C10973	Thiadiazolidinone	C12H12BrN3OS	MNXM86915	cpd07858		9529			
C10974	4-Methylaminobutanal	C5H11NO	MNXM5844	cpd07859		1894	CPD-7993	13055	
C10975	Triazolidinonethione	C12H12BrN3OS	MNXM87749	cpd07860		9677			
C10976	1-Oxa-2-oxo-3-methylcycloheptane	C7H12O2	MNXM35289	cpd07861		663			
C10977	Thiadiazolidinethione	C12H12BrN3S2	MNXM86914	cpd07862		9528			
C10978	Triazolidinedithione	C12H12BrN3S2	MNXM87747	cpd07863		9676			
C10979	Chlozolinate	C13H11Cl2NO5	MNXM46531	cpd07864		3656;83557			
C10980	Bifenthrin	C23H22ClF3O2	MNXM736204	cpd07865					
C10981	Vinclozolin	C12H9Cl2NO3	MNXM88883	cpd07866		83732			
C10982	Cyfluthrin	C22H18Cl2FNO3	MNXM48251	cpd07867		4034			
C10983	Cyhalothrin	C23H19ClF3NO3	MNXM724526	cpd07868		4035		13064	
C10984	Cypermethrin	C22H19Cl2NO3	MNXM724528	cpd07869		4042	CPD-22551	13065;24831	
C10985	Deltamethrin	C22H19Br2NO3	MNXM1104553	cpd07870		4388		13066	
C10986	Procymidone	C13H11Cl2NO2	MNXM78116	cpd07871		8450			
C10987	N-(3,5-Dichlorophenyl)succinimide	C10H7Cl2NO2	MNXM63191	cpd07872		7087			
C10988	Fenvalerate	C25H22ClNO3	MNXM53263	cpd07873		5014		13069	
C10989	Fluvalinate	C26H22ClF3N2O3	MNXM53716	cpd07874;cpd20052		39367;5135			
C10990	Flumiclorac pentyl	C21H23ClFNO5	MNXM53548	cpd07875		5104			
C10991	Resmethrin	C22H26O3	MNXM736212	cpd07876;cpd16570		8811		13072	
C10992	Tefluthrin	C17H14ClF7O2	MNXM83483	cpd07877		78107			
C10993	Flumipropyn	C18H15ClFNO3	MNXM53551	cpd07878		139040;5105			
C10994	Hydramethylnon	C25H24F6N4	MNXM527212	cpd07879		2630;38531			
C10995	Amitraz	C19H23N3	MNXM41898	cpd07880		2665			
C10996	Daminozide	C6H12N2O3	MNXM48731	cpd07881		4312			
C10997	Guazatine	C18H41N7	MNXM55756	cpd07882		5569	GUAZATINE		
C10998	4-Aminobiphenyl	C12H11N	MNXM3228	cpd07883		1784			R-ALL-47687
C10999	4,4'-Methylene-bis-(2-chloroaniline)	C13H12Cl2N2	MNXM37093	cpd07884		28124			
C11000	Dichloran	C6H4Cl2N2O2	MNXM50502	cpd07885		27864			
C11001	2,6-Diethylaniline	C10H15N	MNXM34607	cpd07886		27880	CPD-18946		
C11002	Isofenphos	C15H24NO4PS	MNXM57934	cpd07887		6009			
C11003	2,4-Xylidine	C8H11N	MNXM34524	cpd07888		27840			
C11004	2,6-Dimethylaniline	C8H11N	MNXM2917	cpd07889	26dmani	28738			
C11005	Isoproturon	C12H18N2O	MNXM724853	cpd07890		6049	CPD-23253		
C11006	2,4-Dinitrotoluene	C7H6N2O4	MNXM5441	cpd07891		920	CPD-9132		
C11007	Linuron	C9H10Cl2N2O2	MNXM60198	cpd07892		6482	CPD-16760		
C11008	2,6-Dinitrotoluene	C7H6N2O4	MNXM14152	cpd07893		957	CPD-9133		
C11009	Chlorbromuron	C9H10BrClN2O2	MNXM46337	cpd07894		3608	CPD-23259		
C11010	2-Fluoroaniline	C6H6FN	MNXM35065	cpd07895		27526			
C11011	Metoxuron	C10H13ClN2O2	MNXM61979	cpd07896		6907	CPD-23254		
C11012	Pencycuron	C19H21ClN2O	MNXM725156	cpd07897		7957			
C11013	3-Fluoroaniline	C6H6FN	MNXM36450	cpd07898		27873			
C11014	4-Fluoroaniline	C6H6FN	MNXM723460	cpd07899		28546			
C11015	Aldicarb	C7H14N2O2S	MNXM40597	cpd07900		2555			
C11016	Diphenylamine	C12H11N	MNXM17317	cpd07901		4640	CPD-9937		
C11017	Kresoxim-methyl	C18H19NO4	MNXM724865	cpd07902		2962			
C11018	Azinphos-methyl	C10H12N3O3PS2	MNXM43177	cpd07903		2953			
C11019	Pendimethalin	C13H19N3O4	MNXM73090	cpd07904		83569			
C11020	2,4-DP	C9H8Cl2O3	MNXM34540	cpd07905		75370			
C11021	Diclofop methyl	C16H14Cl2O4	MNXM724575	cpd07906		145412;4510			
C11022	Butamifos	C13H21N2O4PS	MNXM44960	cpd07907		3232			
C11023	O-Ethyl-O-(5-methyl-4-nitrophenyl)(1-methylpropyl)phosphoramidothioate	C13H21N2O4PS	MNXM65159	cpd07908		7683			
C11024	Fenoxaprop-ethyl	C18H16ClNO5	MNXM512035	cpd07909		5008	CPD-19392		
C11025	Coumaphos	C14H16ClO5PS	MNXM47731	cpd07910		3903	CPD-8964		
C11026	Coumaphos anti-dimer	C28H32Cl2O10P2S2	MNXM736869			3904			
C11027	Coumaphos syn-dimer	C28H32Cl2O10P2S2	MNXM736870			3905			
C11028	Phosalone	C12H15ClNO4PS2	MNXM75071	cpd07913		8121			
C11029	Fluazifop butyl	C19H20F3NO4	MNXM737868	cpd07914		132963			
C11030	Quinalphos	C12H15N2O3PS	MNXM80439	cpd07915		8712			
C11031	Haloxyfop methyl	C16H13ClF3NO4	MNXM724790	cpd07916		136720;5616			
C11032	Trichlopyr	C7H4Cl3NO3	MNXM87820	cpd07917		9682			
C11033	1-Aminomethylphosphonic acid	CH6NO3P	MNXM31427	cpd07918		133674;28812	CPD0-1074		
C11034	MK-129	C21H18ClNO3	MNXM62260	cpd07919		6620			
C11035	Flumioxazin	C19H15FN2O4	MNXM725404	cpd07920		8939			
C11036	Bromobenzene	C6H5Br	MNXM7135	cpd07921		3179	BROMOBENZENE		
C11037	Chlorothalonil	C8Cl4N2	MNXM46490	cpd07922		3639	CPD0-1031		
C11038	2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate	C10H17N3O11P2	MNXM56896	cpd07923;cpd26103		145464;835	CPD0-1345		
C11039	2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate	C10H18N3O14P3	MNXM92861	cpd07924		836	DEOXY-OH-METHYLCYTIDINE-TRIPHOSPHATE		
C11040	Dichlobenil	C7H3Cl2N	MNXM34599	cpd07925		943	CPD-19830		
C11041	Chlorthiamid	C7H5Cl2NS	MNXM46527	cpd07926		949			
C11042	Hexachlorobenzene	C6Cl6	MNXM56307	cpd07927		5692	CPD-24462		
C11043	Methoxychlor	C16H15Cl3O2	MNXM61678	cpd07928		6842			
C11044	2,2',4,4',5-Pentachlorodiphenyl ether	C12H5Cl5O	MNXM34289	cpd07929		28298			
C11045	Aspartame	C14H18N2O5	MNXM42817	cpd07930		2877	CPD-5583		R-ALL-444719
C11047	Azadirachtinin	C35H44O16	MNXM736011	cpd07931		1442			
C11048	Brassicanal A	C10H9NOS	MNXM736261	cpd07932		3167			
C11049	24-epi-Brassinolide	C28H48O6	MNXM1108442	cpd07933		27722	CPD-11835	13127	
C11050	25-Hydroxy-24-epi-brassinolide	C28H48O7	MNXM35709	cpd07934		1309			
C11051	26-Hydroxy-24-epi-brassinolide	C28H48O7	MNXM481852	cpd07935		1310			
C11052	7-Ethoxycoumarin	C11H10O3	MNXM39099	cpd07936		28184		13130;20742	
C11053	9,10-Dihydrokadsurenone	C21H26O5	MNXM39490	cpd07937		2328			
C11054	Spinosyn A	C41H65NO10	MNXM82596	cpd07938		9230	CPD-13385		
C11055	Spinosyn B	C40H63NO10	MNXM82597	cpd07939		9231			
C11056	Spinosyn D	C42H67NO10	MNXM82598	cpd07940		9232	CPD-13386		
C11057	3,4,3',4'-Tetrachlorobiphenyl	C12H6Cl4	MNXM35984	cpd07941		1367			
C11058	1,2,3,4-Tetrachlorodibenzodioxin	C12H4Cl4O2	MNXM32040	cpd07942		27785			
C11059	1,3,6,8-Tetrachlorodibenzo-p-dioxin	C12H4Cl4O2	MNXM32249	cpd07943		27936			
